;author_id;username;author_followers;author_description;author_location
198;4858017249;nataliaan;235;;Sad and Brazilian
201;1390153654632652811;pretainfluencer;430;digital influencer | escritora independente;Rio de Janeiro
202;1538275181227036674;BBarbos84340111;11;🇦🇹ZL 👹🇦🇹🦍;Porto Alegre, Brasil
205;1609669359177285632;GizelleMartins6;75;;
207;1022159412125937664;pqhina_;287;https://t.co/9rhLeBAfUp;
208;1410419647183212546;mclzinho;212;esforçado pra ser bonzinho;
209;22770965;ticianavalle;675;I'm just a girl in the world.;São Caetano do Sul, Brasil
212;1007973626442866688;mmerozz;508;Chocha, capenga, manca, anêmica, frágil e inconsistente.;Belo Horizonte, Brasil
218;1638214464100089857;barbarayari;0;;
220;212740538;ricribeirinha;2846;Sempre tentei saber até onde poderia chegar.Mas até hoje não encontrei meus limites;
221;196651173;Mtnezz;947;Yo no creo en brujas, pero las hay.;
222;1393216141502386176;ahinetwork;613;Inspiring innovative collaborations across the animal health sector;Surrey, United Kingdom
223;756254367347507201;tdisseminhaveia;1258;nada com nada;Noruega
224;1334640576952741889;donedadie;29;Coritiba!!🇳🇬. Brown Belt. Uns trades em derivativos. Finanças Quantitativas. Volatilidade é onde a mágica começa. Análise técnica não serve pra nada!;
225;16880211;rodrigocordeiro;1725;Children's book Illustrator 📘 - Based in BrazilInternationally represented by IllozooInsta: https://t.co/2squ4Ikz0H;Bauru - SP, Brasil
227;1259924237575507969;LjrAdemar;1293;#Coritiba #Coxa Ser #coxabranca é um estado de espírito 🇳🇬⚽️🇳🇬🏆🤍💚🤍💚 #CoxaDoido;Curitiba, Brasil
228;15097726;meioemensagem;143997;Meio & Mensagem é a plataforma de conteúdo que informa, inspira e conecta os profissionais do mercado de marketing e comunicação no Brasil.;São Paulo/BRASIL
229;332845951;yaypumpkin;3290;🇧🇷 baiano, gay, ilustrador, motion ✨⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀📧 thiagoguidoart@gmail.com⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀    ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🚫 NÃO USE SEM PERMISSÃO;Jacobina-BA, Brasil
230;79470895;Gus_oliveiradas;377;vc tem de ter sempre na cabeça que o grande inimigo é a rotina, e que vc tem de driblá-la, senão, vc vai ficando bovino e é cada vez mais difícil arrasta-la.;Sao Paulo
231;185049670;EdSandim;227;RP com pós em Comunicação e MKT. Vegano e 2 x santista. geminiano ♊️ com ascendente em Áries ♈️ e Lua em Capricórnio ♑️. Estudante de Filosofia @edsandim;São Paulo, Brazil
232;44972635;nicepsissico;2195;🖖🏻,💙Blue Bloods💙série maníaca;Space : the final frontier
234;951748982149124096;mongelua;11352;🌜 Freelance Illustrator📧 monge.lua@gmail.com;Minas Gerais  
235;1135990091246161925;isabellapessoa;758;Tweet and shout!Visual Development Artist open for work 💥(she/her)bellagpessoa@gmail.com; Parahyba, Brasil
237;1529875465007136770;beamkiinha;820;✧º.:*✷ encomendas abertas ✷*:.º✧ilustradora e chorona nas horas vagas✷ biimenezess@gmail.com;Brasil
240;357818653;Faelmdss;309;meu compromisso é sempre vencer;Fortaleza, CE
241;1367151194037243910;artejomartins;35;Autor de imagens | Artista gráfico-visual;Brasil
243;1083141003224248321;giovannirochat;511;Children’s Illustrator ✨ Artist that loves colors and cute things ✨ Seeking representation. Email: giovannirochart@gmail.com;Orion
244;1081249942826561537;aricardocf;9033;if you have to ask, you'll never know.if you know, you need only ask.  filho de Iemanjá...em um mundo totalmente diferente do que se define🇮🇹🇧🇷🇪🇸♉🔥;Barcelona, Spain
247;1090061503666053129;LudMagroski;554;illustrator  •  game artist  •  undercover biologist  •  rpg, games, bollywood, kpop, dancing  •  bts army @luuudje✨ ele/elu - they/them;São Paulo, Brasil
249;1364272344768905216;rpriscilax;6;;
250;1101005696;laura_aviila_;1916;;Pelotas, Brasil
251;82755501;jujumori;320;Gateira, noveleira e cansada | ela/dela;
252;1496697789379715077;Tqdantas;0;Perdidamente perdida;
253;745249603197493248;leoaugusto_c;137;;
257;1510482163963240452;Gui_TDZ;19;🫠;LÁ 
258;1548698227058348032;cancroduro;7;eca;
259;4638478402;rodes21_;552;Saúde pra lá de mental;Uberlândia, Brasil
260;68550905;Moonlghtbttrfly;78;Sejam eles lordes ou lendas, a maldição não demonstra misericórdia, o legado de nossa miséria sempre se faz presente.;
261;15283951;danielgonzaga;6861;Cantor/ Compositor que sai fazendo as coisa logo, sem dinheiro, antes que o mundo acabe.;RJ
262;149739127;sibelemezetti;103;Historiadora e humana da Amora 📚🐾Twitch: https://t.co/H4aurWscJI;Porto Alegre / RS - Brasil
263;37851777;MOtrikoloira;159;Sou Brasileira, Decoradora, de Esquerda, Petista, Gateira, Sãopaulina e adoro um bom embate! Amo meu país, meu povo e odeio o BOLSONARO✌️;Sampa
264;203117980;aferanabela;6915;"Cítrica, com um toque açucarado e um leve amargo no final; quase uma caipiroska.Parceira do @odonodautiBolsoafetivos não são bem vindos! O pasto é ali do lado";Não mantenho os pés no chão
265;113718813;maviapinheiro;1970;ela ama brigadeiro, bolo de abacaxi, pôr do sol, dormir, viagens, banho de rio e pessoas sinceras...;Brasil
266;3852628642;nathsfernandes_;696;@Flamengo 🔴⚫️;Planaltina-DF, Brasília
267;1219673220;zeaugustojunior;229;Especialista em beber café!;Palmas - Tocantins, Brasil
268;2741306891;jeagserra;30;Eu divago bastante…;São Paulo
273;119576440;profevertonleit;507;"♈Ariano♈Filiado ao #MDB @MDB_NacionalProfessor de Geografia;Pós-graduado em Met. do Ensino Geografia/ Gestão Escolar. Contato: contato@evertonleite.pro.br";"Brazil ; Blumenau/SC"
275;102443531;badgalrezi;683;Jornalista & herdeira não praticante! 🇪🇪;Porto Alegre
277;957693139397042176;Guilhotin4;67;🇯🇴🎃🎭🎨🎗️;São Luís, Brasil
278;8403822;theladymetal;497;how 'bout no?;Rio de Janeiro, Brazil
279;535608407;capriliens;369;isso aqui parece mais um fã clube 🤡;tão tão distante 
280;774347596982849536;xulialol;153;go ahead and cry little girl, nobody does it like you do;Campo Grande, Brasil
281;4574844629;laripalagar1;114;Carioca. 🏖☀️21 anos.Sagitariana. ♐Flamenguista.❤🖤@EstrellaBiel 💍;RJ
283;25860830;trisltz;10513;Apenas alguém cansado da vida. Se você segue esse perfil e/ou lê meus tweets você concorda com os Termos e Condições.;Nao interessa pra você...
287;109849784;zahiasauaia;574;🔆 Fã de @IveteSangalo @LanaParrilla⠀⠀ ⠀⠀⠀⠀⠀🤍 Fan Account⠀ ⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀⠀⠀;NA CASA DO CARALHO
288;1615903026631380993;taldivos;3;La chica de la fronteira;Foz do Iguaçu, Brasil
290;230499057;baekseuIgi;2599;#IRENE & #SEULGI's 1st Mini Album: Monster;rv. iu. ts. ldr.
291;721137788045930496;brukysfield;42;Queria morar no interior.;Lóthlorien
292;767911401159593985;BiaOliveira1986;62;I love animals... humans are tolerable!!;São Paulo
293;108660627;eftlima;114;in love with Rio de Janeiro;Rio de janeiro
294;2834472257;PetzOficial;4957;Use o cupom BOASVINDAS e ganhe 10% de desconto em sua primeira compra! 💛💙;
295;67757458;fabiogeiss;74;;
297;2984689032;agonts;381;a vista do outro lado é espetacular;
298;1548833605694136322;Wellsouzaa7;16;pai da Anitta, estudante, educador, gestor. Leão, 27.;
299;488920982;gamermulher;581;Headcoach de League of Legendshttps://t.co/Vp5PibhfIECoach F.A;
300;1082820656306229248;theonlycamis;20;por britney spears eu dou a minha vida || fan account #housetargaryen;
302;1308727585900294147;intent_ly;26;Data-driven conversions. The Customer Conversion Optimisation platform using intent-based solutions to increase revenue #intently;London
303;1487536885799047169;ilov6xia0;18;Ele/Dele;
304;1532240378732085248;r10nobbb23;79;Humor;Brazil
305;1415681544195244039;Palagarcarol1;45;;
306;1577815238065389568;bambi_collects;158;;feedbacks:
307;734259721406959616;Isinhasoarees;223;Pai e mãe ouro de mina 🤞🏽♥️;
308;56541726;phael_lpu;230;""" O que nós somos nunca muda, mas quem nós somos nunca para de mudar""  (Gil Grissom)";São Paulo, Brasil
309;1324529158517624833;EstrellaBiel;12;@Laripalagar1 💍❤️👩‍❤️‍💋‍👨 @Flamengo 🖤❤️;Rio de Janeiro, Brasil
311;783071198896918528;imlalyy;135;.;Brasil
314;1469571471387340801;Anebb0104;79;;
315;879328709530066946;screamkyng;132;mad thrash whore;
316;188069906;fyushinohama;464;;-15.7978,-47.88377
317;739492549;BDouglas__;12257;ya pasará el aguacero;Piracicaba, Brasil
318;734052065392111616;_Meadote;856;Gente rica tem etiqueta de grife na roupa. Gente feliz tem pelos de animais!;
319;1017826619342442497;t6kios;1471;;"﹫huwios's rt account 
dando rt em ongs, adoções
e páginas de resgate animal"
320;232999970;graferri;33;;
321;96855593;FabiaMazza;3448;Ativista dos maus costumes. Luto pelos animais.Eu rasgo o verbo porque não posso rasgar o sujeito.;Tanabi - SP - Brasil
322;1321178964333940736;hamikamikaos;149;(estudante das artes ocultas) (qualquer pronome) (neurodivergente) (buzina lgbt);
323;37588799;_minorith;5636;"✝ ""Direi do Senhor: Ele é o meu Deus, o meu refúgio, a minha fortaleza, e nele confiarei"" | 💍 @MuriloKazack | 🎮 Coordenadora de Comunicação na GTG";São Paulo 🔄 New Westminster
324;2847246244;TaGravadoBrasil;21340;Nem sempre RT significa endosso - Aqui a gente fala de tudo, não bajulamos os óbvios e favoritos em realities. Só se a gente quiser #paz;Brasil
325;1202028487;catlandrescue;13766;Gatinhos resgatados das ruas, que buscam por um novo lar! Que tal o seu? ❤️https://t.co/JePzPRbYIk;São Paulo, Brasil
326;101500680;_RenataBarbosa_;139;Recifense, Administradora, Pós Graduada em Finanças, estudante e futura Servidora Pública. Traçando metas para alcançar os objetivos!! 📌📈;Recife
330;1480679628238950404;gabirmj;386;aqui eu falo sobre medicina, amor e álcool em suas respectivas doses terapêuticas… para mim. e posto meus gatos. #medtwitter;
335;152408385;tatibrayner;147;so I start a revolution from my bed;Rio
336;124009793;clau_cichitte;63;se o interior estiver em paz ☮️ o resto tanto faz 🤷🏼‍♀️ #segueobaile;Brasil
337;1637256022942154753;Macsxidszz;0;;
338;250458196;TimePinkX;232;Hello, sweeties! I'm a Brazil's Silver Legion Rep, Cancer Earth Dragon Doctor, X Freak, Whovian, Gater, Merlinian and Grimmster allons-ying!;Curitiba, Paraná, Brasil
339;2836689730;tacilarubbo;75;uma bruxa livre na imensidão ✨este perfil é para reclamações, opiniões e assuntos inúteis.;
340;762844741847228416;soyglauber;397;🏳️‍🌈💛🥑👑;São Paulo, Brasil
341;1343287856484261889;Jr_blv19;105;Deus é grande existe, me fortalece e me guarda ✌️🚩;
342;337358277;thiago_greedo;457;;Santa luzia MG Brazil
343;262942529;0susuu;2758;desculpe o transtorno estou em reforma;Fortaleza, Brasil
344;1216825778928865280;_erickferreira7;451;Desde 1991 • 100% vacinado • Jornalista • @taquararjnews • Botafoguense eterno • Amante de jornalismo, futebol, doguinhos, cinema e super heróis;Taquara, Rio de Janeiro
345;1585844110895742982;_robertaderazao;10;;
346;1277325619206987776;bebeldemiguel;139;curta e grossa (literalmente).;
347;3635282355;MariliaIfe;276;D’Jeje, Contabilista e Administradora - Mamãe da Ashanti e da Mali;São Paulo, Brasil
348;35559664;Ricorricardo;386;"Deitado eternamente em berço esplêndido; Santo Padroeiro da Galhofa.";No ar, Recife.
349;78335276;guilherme_mor;120;Food, bad movies and dance. Brazilian in Orlando 🇧🇷/ 🇺🇸;Orlando, FL
350;48525729;invizzyvel;1217;izabela, sereia tropical vestida de areia e sal faço brilhar reflito o mar azul no meu corpo quase nu;Oceano Atlântico
351;104266256;dramasdasami;1078;nas horas vagas, choro as pitangas aqui no twitter, comento sobre reality show e xingo bolsominions.;Brazil
352;74888960;karenmabel;5039;Dançarina do É O Tchan. Atriz com Oscar. Clone da Magali. Fofoker. Fluente em deboche. Autora de best seller a ser lançado. | 📧 contato: karen.mabel@gmail.com.;Manaus, Brasil
353;40052922;monica_dias;1536;Vim pela comida;Manaus
354;33881681;o_observador_1;317;Alguém ai...;Brasil
356;228558580;drinkalone19;6104;Não é sério;Zihuatanejo 
357;1281674224592138240;Machaddu;144;New Friends 🙂👋;Curitiba, Brasil
358;44025575;gabrielmach;561;jornalista | horror queer | Manaus/AM;
360;898326332622479360;HumanaGertrudes;140;Artes Plásticas,MBA em Finanças - muitas vidas só nesta encadernação E tomara seja só a metade! Olhando o mundo e as pessoas e agora tb dando pitaco (às vezes)!;Belo Horizonte Brasil
361;1470224397218816001;FCurintha;4;A voz de quem levou tombo da Rappi. Se você tá na família, vem com agente!;
362;1319221871703937024;boyzinhatriste;37;vasco, stardew valley e medvet • qualquer pronome;
364;525864727;ralfaeu;111;Médico. Eternamente filho do Deus vivo através de santa obra de Cristo.;São Luís, Brazil
365;77393605;felipepinage;266;doutor de verdade;Curitiba
366;27926330;plyra;71;;Brasília, Brazil
367;1104902846774943745;soudeexatasx;58;;ela/dela
370;1029743678460489728;dameofgold;124;Tem gente que ama mais bicho do que gente. Inclusive eu.• Fuck you and your eyebrows •;Ubachuva
371;1064922830616387584;bilitante;414;Dani Vas, 28 🎭 •Ele/elu/ela - he/they/she (nb) • bi • não-mono •Contador e escutador de histórias • Type: Jester/ Fairy;
372;123114676;Guilherme_Ytalo;306;pedreiro de app no app da tigelaalter ego do menino melão da twitch(Mellow_Boy)Dev front com techs que a galera usa mto pouco iniciante no mundo de swift;Joinville, Brasil
373;1587553271727767553;rrobert94108528;66;De esquerda, antifascista, amigo dos bichos e do meio ambiente.;Curitiba, Brasil
374;24689439;QueimaGzus;1353;O Senhor perdoa, mas eu não!;Botafogo FR
375;556750370;AlannDouglas;346;✊🏾;Bangu City 🔥
376;3248757771;eagoraisadora;132;Fala mais que papagaio em areia quente  • ela/dela;
377;119279386;RodrigoComrua;16435;Rodrigo Pires.Artista. Ministro do Amor. Trabalhando para o Brasil beijar muito.Publicidade: rodrigopiresco@gmail.com;Niterói - RJ - Brazil
378;121588914;cahregueiro;209;Jornalista;
379;291945681;IrmaoBolota;48;Profissional em não fazer nada.Bebo coisas alcoólicas de vez enquanto.Just married com uma gostosa do caralho.;Pentescopeia
383;89470046;danjustino;644;Redator do @tudocelular (https://t.co/WeDvMk2o0L), criador do @EpicGeek e contador.ATENÇÃO: minhas opiniões não refletem a opinião de onde trabalho. 😊;Rio de Janeiro
385;46929682;marcosjahn;173;Corinthiano, geek, vidrado em tecnologia e principalmente nas coisas lá do Alto!;Internet
386;83599653;ialima7;137;;
387;189978536;ooliviabeatriz;519;Advogada, mãe de pet, chorona e cachaceira;
388;1641801337;tha_rozendo;43;vivo um dia de cada vez;
390;1460900821294620680;WellingtonMunh3;112;;
391;1225123475129618434;assisleticiaof;78;Jornalista pela PUC- SP | Colaboradora Record TV |Falo sobre tudo e entendo quase nada 🛸🍃;
393;1433800090913845249;EdinelsonAzeve6;16379;Carioca da gema e Antibolsonarista até  a alma!!! Professor (MSc) com formação em Psicologia e Administração. Vascaíno 🇧🇷 1️⃣3️⃣ 🚩🚩🚩..Esquerdistas SDV!!!;Rio de Janeiro, Brazil
394;1615358904690511873;Carolsnend;0;;
395;86767554;otaldokaue;266;Filha da Gretchen, cantora, atriz porno e evangélica.;
396;1861835472;alyson_mg;32;Insta @alysonmagalhaes;
397;1526059519138316288;nyameeow_;298;fan account 👽 • bangtan 🫰🏻 • yoongi utted 🐱 support Mew and Gulf 🤟🏻 • BLs/GLs/doramas 💻 K-pop 🗣️ conta nova surtos antigos ✨;hufflepuf • bi 🏳️‍🌈 • 27y
399;1603689571161612288;jocilenens;5;;
400;782873904;louistflickers;5900;@alviverds 💍 | Ajude o tico ➡️ https://t.co/3dlEbhuZuT;horan 🏡
401;149301509;brunecadeolinda;2051;minha função nesse site é reclamar e curtir bichinhos fofos;Brazil
402;1262317363984306177;slpng_giants_pt;567474;Com apenas R$20 você pode nos ajudar a retirar R$20 milhões das fake news!👇🏽;
403;40603993;henryzp;217;Administrador de Empresas. Amante de cães, motos e crossfit;são paulo
404;897955890468356096;marcellafssss;88;potiguar • converso besteira e faço mini coisinhas em biscuit • pfp: https://t.co/ptauTpwCqS;
405;1376611680906579972;vaIentinerz;136;• bruno mars | maroon 5 | coldplay | rhcp •;
406;52817947;wishem;411;28. i'm the resident leader of the lost and found.;SP - Brazil
407;1384283873257746432;akrolrodrigues;194;Pelo aborto legal, seguro e gratuito!;
409;1550452220356861952;anacaiena;266;CNPJ: Gatos. Pessoa física: Terror 🐈‍⬛🕸️🪦🦇;Rio de Janeiro, Brasil
410;855348860;TalineSantos24;8;Capricorniana, estudante de Ed física, ama cachorros e filha de paraibana arretada!;Fortaleza, Brasil
411;241624760;FabioFarro;1123;"INFJ; Ele/Dele; Bi; Autor de Um Doce Sonho. Lançamento em formato de Ebook, EM BREVE!Contato: fabiofarro06@gmail.com";Guarulhos, São Paulo - Brasil
412;1356223533265924097;icaroaccounts;215;Há algo no ar, contrariado nêgo chegapra reclamar fortes momentos de tristeza;
414;1482153846529052673;Dragabrielabitt;17;😷;
415;3439333624;astronomacamila;31225;✨ Desventuras de uma astrônoma✨ Legista de galáxias viciada em café✨ PhD candidate @ESOHost @a30podcast | Criadora @AstroMiniBR;
416;1622047112346091520;BaCaldeira10;1;;
418;1601211244001869824;kaivnsky;95;baby if you wanna leave come to ponta grossa be a freak like me too;pg
422;1123565465970802689;blacksabata1;28;biruleib;
424;1223726122006958081;paulima81;5;Paula Lima;
425;19474391;PaulinhoCoruja_;2487;Vocal e baixo da @bandadiaboverde || Vocal da @cabecudos_ || baixista da @bandamaraboApresentador do @ahora2perdidos || •;Rio de Janeiro
427;224807251;DeiaSDantas;76;só dou retweet!;Brasil
428;35587868;danielhrj;94;Professional procrastinator. Zionist globalist conspiracy creator under orders of the Elders of Tzion. Or not. Maybe.Likes, tweets & RT are not endorsement?;Nowhere Land
429;66151211;nandakings;339;doida por uma cervejinha no bar da esquina;Recife, PE
431;1456798747862749195;mabb_souz4;88;gostosa de corpo, e gostosa na postura 💋;ela/dela 
432;220676877;rukielukie;52;nao sei o q to fazendo;
